x: 0.060, y: -0.145, h: 2.167, tx: -0.364, ty: -0.250, time: 4.494628
x: 0.059, y: -0.142, h: 2.114, tx: -0.368, ty: -0.250, time: 4.515588
x: 0.057, y: -0.142, h: 2.058, tx: -0.372, ty: -0.250, time: 4.536243
x: 0.058, y: -0.140, h: 1.997, tx: -0.376, ty: -0.250, time: 4.557055
x: 0.059, y: -0.133, h: 1.929, tx: -0.380, ty: -0.250, time: 4.578252
x: 0.057, y: -0.133, h: 1.882, tx: -0.385, ty: -0.250, time: 4.600075
x: 0.055, y: -0.131, h: 1.842, tx: -0.389, ty: -0.250, time: 4.621231
x: 0.051, y: -0.129, h: 1.802, tx: -0.393, ty: -0.250, time: 4.642069
x: 0.049, y: -0.129, h: 1.763, tx: -0.397, ty: -0.250, time: 4.662912
x: 0.047, y: -0.127, h: 1.731, tx: -0.401, ty: -0.250, time: 4.684239
x: 0.043, y: -0.126, h: 1.705, tx: -0.405, ty: -0.250, time: 4.705047
x: 0.039, y: -0.126, h: 1.682, tx: -0.409, ty: -0.250, time: 4.725354
x: 0.034, y: -0.126, h: 1.665, tx: -0.413, ty: -0.250, time: 4.746041
x: 0.030, y: -0.126, h: 1.649, tx: -0.417, ty: -0.250, time: 4.766219
x: 0.027, y: -0.128, h: 1.635, tx: -0.420, ty: -0.250, time: 4.786472
x: 0.023, y: -0.129, h: 1.622, tx: -0.424, ty: -0.250, time: 4.806628
x: 0.018, y: -0.130, h: 1.612, tx: -0.428, ty: -0.250, time: 4.826786
x: 0.015, y: -0.132, h: 1.595, tx: -0.432, ty: -0.250, time: 4.847100
x: 0.011, y: -0.132, h: 1.578, tx: -0.436, ty: -0.250, time: 4.868327
x: 0.009, y: -0.135, h: 1.555, tx: -0.440, ty: -0.250, time: 4.888608
x: 0.005, y: -0.137, h: 1.532, tx: -0.444, ty: -0.250, time: 4.909231
x: 0.002, y: -0.138, h: 1.506, tx: -0.448, ty: -0.250, time: 4.930012
x: -0.001, y: -0.140, h: 1.486, tx: -0.452, ty: -0.250, time: 4.950617
x: -0.005, y: -0.143, h: 1.464, tx: -0.456, ty: -0.250, time: 4.971062
x: -0.009, y: -0.143, h: 1.446, tx: -0.460, ty: -0.250, time: 4.992307
x: -0.013, y: -0.144, h: 1.430, tx: -0.464, ty: -0.250, time: 5.012445
x: -0.016, y: -0.145, h: 1.409, tx: -0.468, ty: -0.250, time: 5.032586
x: -0.021, y: -0.148, h: 1.389, tx: -0.472, ty: -0.250, time: 5.053056
x: -0.026, y: -0.148, h: 1.373, tx: -0.476, ty: -0.250, time: 5.073770
x: -0.031, y: -0.150, h: 1.361, tx: -0.480, ty: -0.250, time: 5.094074
x: -0.034, y: -0.150, h: 1.335, tx: -0.484, ty: -0.250, time: 5.114215
x: -0.038, y: -0.151, h: 1.307, tx: -0.488, ty: -0.250, time: 5.135350
x: -0.042, y: -0.153, h: 1.275, tx: -0.492, ty: -0.250, time: 5.155831
x: -0.046, y: -0.154, h: 1.250, tx: -0.496, ty: -0.250, time: 5.176633
x: -0.052, y: -0.154, h: 1.223, tx: -0.499, ty: -0.250, time: 5.196966
x: -0.055, y: -0.156, h: 1.194, tx: -0.500, ty: -0.253, time: 5.217637
x: -0.058, y: -0.157, h: 1.154, tx: -0.500, ty: -0.257, time: 5.238440
x: -0.064, y: -0.160, h: 1.113, tx: -0.500, ty: -0.261, time: 5.259631
x: -0.067, y: -0.163, h: 1.066, tx: -0.500, ty: -0.265, time: 5.280332
x: -0.072, y: -0.165, h: 1.024, tx: -0.500, ty: -0.269, time: 5.301326
x: -0.079, y: -0.167, h: 0.985, tx: -0.500, ty: -0.273, time: 5.321811
x: -0.083, y: -0.169, h: 0.950, tx: -0.500, ty: -0.277, time: 5.342268
x: -0.089, y: -0.173, h: 0.922, tx: -0.500, ty: -0.281, time: 5.362712
x: -0.095, y: -0.172, h: 0.900, tx: -0.500, ty: -0.285, time: 5.383303
x: -0.103, y: -0.176, h: 0.877, tx: -0.500, ty: -0.289, time: 5.404219
x: -0.108, y: -0.177, h: 0.858, tx: -0.500, ty: -0.293, time: 5.424691
x: -0.117, y: -0.179, h: 0.837, tx: -0.500, ty: -0.297, time: 5.445003
x: -0.123, y: -0.181, h: 0.819, tx: -0.500, ty: -0.301, time: 5.465491
x: -0.131, y: -0.184, h: 0.809, tx: -0.500, ty: -0.305, time: 5.485992
x: -0.136, y: -0.185, h: 0.795, tx: -0.500, ty: -0.309, time: 5.506593
x: -0.145, y: -0.187, h: 0.774, tx: -0.500, ty: -0.313, time: 5.527397
x: -0.153, y: -0.190, h: 0.753, tx: -0.500, ty: -0.317, time: 5.547736
x: -0.160, y: -0.192, h: 0.730, tx: -0.500, ty: -0.321, time: 5.568545
x: -0.167, y: -0.195, h: 0.702, tx: -0.500, ty: -0.325, time: 5.589214
x: -0.174, y: -0.200, h: 0.669, tx: -0.500, ty: -0.329, time: 5.609531
x: -0.182, y: -0.202, h: 0.641, tx: -0.500, ty: -0.333, time: 5.630352
x: -0.190, y: -0.206, h: 0.613, tx: -0.500, ty: -0.337, time: 5.651171
x: -0.198, y: -0.209, h: 0.584, tx: -0.500, ty: -0.341, time: 5.671643
x: -0.207, y: -0.212, h: 0.559, tx: -0.500, ty: -0.345, time: 5.692277
x: -0.217, y: -0.216, h: 0.536, tx: -0.500, ty: -0.349, time: 5.713262
x: -0.224, y: -0.220, h: 0.513, tx: -0.500, ty: -0.353, time: 5.733941
x: -0.234, y: -0.225, h: 0.476, tx: -0.500, ty: -0.357, time: 5.755321
x: -0.243, y: -0.227, h: 0.455, tx: -0.500, ty: -0.361, time: 5.776641
x: -0.253, y: -0.233, h: 0.427, tx: -0.500, ty: -0.365, time: 5.798493
x: -0.263, y: -0.238, h: 0.401, tx: -0.500, ty: -0.369, time: 5.819727
x: -0.272, y: -0.242, h: 0.381, tx: -0.500, ty: -0.373, time: 5.840482
x: -0.281, y: -0.246, h: 0.358, tx: -0.500, ty: -0.377, time: 5.861070
x: -0.290, y: -0.251, h: 0.342, tx: -0.500, ty: -0.381, time: 5.882333
x: -0.300, y: -0.255, h: 0.324, tx: -0.500, ty: -0.385, time: 5.902783
x: -0.309, y: -0.260, h: 0.307, tx: -0.500, ty: -0.389, time: 5.924077
x: -0.318, y: -0.265, h: 0.286, tx: -0.500, ty: -0.393, time: 5.944567
x: -0.326, y: -0.271, h: 0.265, tx: -0.500, ty: -0.397, time: 5.965391
x: -0.335, y: -0.278, h: 0.245, tx: -0.500, ty: -0.401, time: 5.985924
x: -0.343, y: -0.285, h: 0.219, tx: -0.500, ty: -0.405, time: 6.006583
x: -0.351, y: -0.292, h: 0.187, tx: -0.500, ty: -0.409, time: 6.027389
x: -0.360, y: -0.299, h: 0.151, tx: -0.500, ty: -0.413, time: 6.048357
x: -0.368, y: -0.307, h: 0.116, tx: -0.500, ty: -0.417, time: 6.069339
x: -0.377, y: -0.316, h: 0.073, tx: -0.500, ty: -0.421, time: 6.090363
x: -0.386, y: -0.323, h: 0.028, tx: -0.500, ty: -0.425, time: 6.111497
x: -0.396, y: -0.332, h: -0.011, tx: -0.500, ty: -0.429, time: 6.132630
x: -0.405, y: -0.340, h: -0.051, tx: -0.500, ty: -0.433, time: 6.154134
x: -0.415, y: -0.346, h: -0.079, tx: -0.500, ty: -0.438, time: 6.175280
x: -0.424, y: -0.354, h: -0.087, tx: -0.500, ty: -0.442, time: 6.196242
x: -0.433, y: -0.359, h: -0.089, tx: -0.500, ty: -0.446, time: 6.217973
x: -0.441, y: -0.364, h: -0.080, tx: -0.500, ty: -0.450, time: 6.239000
x: -0.450, y: -0.368, h: -0.070, tx: -0.500, ty: -0.454, time: 6.260632
x: -0.460, y: -0.372, h: -0.056, tx: -0.500, ty: -0.458, time: 6.281455
x: -0.469, y: -0.377, h: -0.037, tx: -0.500, ty: -0.462, time: 6.302631
x: -0.476, y: -0.381, h: -0.020, tx: -0.500, ty: -0.466, time: 6.323383
x: -0.484, y: -0.387, h: -0.006, tx: -0.500, ty: -0.470, time: 6.344474
x: -0.492, y: -0.391, h: 0.001, tx: -0.500, ty: -0.474, time: 6.365218
x: -0.499, y: -0.397, h: 0.011, tx: -0.500, ty: -0.478, time: 6.386307
x: -0.505, y: -0.404, h: 0.010, tx: -0.500, ty: -0.482, time: 6.407716
x: -0.512, y: -0.409, h: 0.003, tx: -0.500, ty: -0.486, time: 6.429349
x: -0.518, y: -0.415, h: -0.006, tx: -0.500, ty: -0.490, time: 6.450504
x: -0.522, y: -0.422, h: -0.018, tx: -0.500, ty: -0.495, time: 6.471644
x: -0.526, y: -0.430, h: -0.037, tx: -0.500, ty: -0.499, time: 6.492782
x: -0.529, y: -0.438, h: -0.064, tx: -0.500, ty: -0.503, time: 6.513778
x: -0.531, y: -0.445, h: -0.084, tx: -0.500, ty: -0.507, time: 6.535103
x: -0.534, y: -0.452, h: -0.100, tx: -0.500, ty: -0.511, time: 6.555584
x: -0.535, y: -0.458, h: -0.111, tx: -0.500, ty: -0.515, time: 6.576724
x: -0.536, y: -0.465, h: -0.115, tx: -0.500, ty: -0.519, time: 6.597216
x: -0.537, y: -0.471, h: -0.115, tx: -0.500, ty: -0.523, time: 6.618054
x: -0.537, y: -0.475, h: -0.115, tx: -0.500, ty: -0.527, time: 6.638698
x: -0.539, y: -0.481, h: -0.115, tx: -0.500, ty: -0.531, time: 6.658834
x: -0.539, y: -0.486, h: -0.108, tx: -0.500, ty: -0.534, time: 6.679151
x: -0.539, y: -0.491, h: -0.101, tx: -0.500, ty: -0.538, time: 6.700023
x: -0.539, y: -0.494, h: -0.092, tx: -0.500, ty: -0.542, time: 6.720644
x: -0.539, y: -0.499, h: -0.084, tx: -0.500, ty: -0.547, time: 6.741837
x: -0.539, y: -0.504, h: -0.079, tx: -0.500, ty: -0.550, time: 6.762319
x: -0.539, y: -0.508, h: -0.070, tx: -0.500, ty: -0.554, time: 6.782637
x: -0.539, y: -0.511, h: -0.063, tx: -0.500, ty: -0.558, time: 6.802795
x: -0.538, y: -0.513, h: -0.051, tx: -0.500, ty: -0.562, time: 6.822929
x: -0.538, y: -0.515, h: -0.034, tx: -0.500, ty: -0.566, time: 6.843885
x: -0.538, y: -0.518, h: -0.012, tx: -0.500, ty: -0.570, time: 6.864704
x: -0.536, y: -0.521, h: -0.003, tx: -0.500, ty: -0.574, time: 6.886052
x: -0.536, y: -0.526, h: -0.009, tx: -0.500, ty: -0.578, time: 6.906691
x: -0.535, y: -0.531, h: -0.019, tx: -0.500, ty: -0.582, time: 6.927982
x: -0.534, y: -0.534, h: -0.024, tx: -0.500, ty: -0.586, time: 6.948957
x: -0.534, y: -0.538, h: -0.029, tx: -0.500, ty: -0.590, time: 6.969301
x: -0.532, y: -0.542, h: -0.028, tx: -0.500, ty: -0.594, time: 6.989435
x: -0.530, y: -0.546, h: -0.027, tx: -0.500, ty: -0.598, time: 7.009806
x: -0.530, y: -0.551, h: -0.029, tx: -0.500, ty: -0.602, time: 7.030298
x: -0.528, y: -0.554, h: -0.025, tx: -0.500, ty: -0.606, time: 7.050936
x: -0.527, y: -0.558, h: -0.023, tx: -0.500, ty: -0.610, time: 7.071744
x: -0.526, y: -0.562, h: -0.026, tx: -0.500, ty: -0.614, time: 7.092558
x: -0.525, y: -0.565, h: -0.025, tx: -0.500, ty: -0.618, time: 7.113371
x: -0.524, y: -0.570, h: -0.027, tx: -0.500, ty: -0.622, time: 7.134374
x: -0.523, y: -0.575, h: -0.036, tx: -0.500, ty: -0.626, time: 7.154867
x: -0.522, y: -0.581, h: -0.044, tx: -0.500, ty: -0.630, time: 7.175887
x: -0.521, y: -0.584, h: -0.053, tx: -0.500, ty: -0.634, time: 7.196396
x: -0.520, y: -0.588, h: -0.058, tx: -0.500, ty: -0.638, time: 7.216993
x: -0.520, y: -0.591, h: -0.055, tx: -0.500, ty: -0.642, time: 7.237779
x: -0.520, y: -0.595, h: -0.047, tx: -0.500, ty: -0.646, time: 7.258545
x: -0.519, y: -0.598, h: -0.040, tx: -0.500, ty: -0.650, time: 7.279303
x: -0.519, y: -0.602, h: -0.039, tx: -0.500, ty: -0.654, time: 7.299905
x: -0.518, y: -0.606, h: -0.042, tx: -0.500, ty: -0.658, time: 7.320703
x: -0.518, y: -0.609, h: -0.045, tx: -0.500, ty: -0.662, time: 7.341196
x: -0.518, y: -0.612, h: -0.044, tx: -0.500, ty: -0.666, time: 7.361346
x: -0.519, y: -0.615, h: -0.039, tx: -0.500, ty: -0.670, time: 7.381484
x: -0.519, y: -0.618, h: -0.028, tx: -0.500, ty: -0.674, time: 7.402319
x: -0.519, y: -0.621, h: -0.020, tx: -0.500, ty: -0.678, time: 7.423121
x: -0.519, y: -0.625, h: -0.019, tx: -0.500, ty: -0.681, time: 7.443606
x: -0.519, y: -0.629, h: -0.022, tx: -0.500, ty: -0.685, time: 7.464239
x: -0.519, y: -0.632, h: -0.026, tx: -0.500, ty: -0.689, time: 7.485040
x: -0.519, y: -0.635, h: -0.030, tx: -0.500, ty: -0.693, time: 7.505722
x: -0.519, y: -0.639, h: -0.026, tx: -0.500, ty: -0.697, time: 7.525867
x: -0.520, y: -0.643, h: -0.021, tx: -0.500, ty: -0.701, time: 7.546682
x: -0.520, y: -0.646, h: -0.020, tx: -0.500, ty: -0.705, time: 7.567480
x: -0.520, y: -0.651, h: -0.020, tx: -0.500, ty: -0.709, time: 7.587799
x: -0.520, y: -0.655, h: -0.024, tx: -0.500, ty: -0.713, time: 7.608436
x: -0.520, y: -0.658, h: -0.026, tx: -0.500, ty: -0.717, time: 7.628587
x: -0.521, y: -0.661, h: -0.024, tx: -0.500, ty: -0.721, time: 7.649129
x: -0.520, y: -0.664, h: -0.018, tx: -0.500, ty: -0.725, time: 7.669484
x: -0.521, y: -0.668, h: -0.012, tx: -0.500, ty: -0.729, time: 7.690339
x: -0.520, y: -0.673, h: -0.011, tx: -0.500, ty: -0.733, time: 7.710996
x: -0.520, y: -0.676, h: -0.015, tx: -0.500, ty: -0.737, time: 7.731269
x: -0.520, y: -0.680, h: -0.022, tx: -0.500, ty: -0.741, time: 7.752006
x: -0.521, y: -0.685, h: -0.029, tx: -0.500, ty: -0.745, time: 7.772745
x: -0.521, y: -0.689, h: -0.029, tx: -0.500, ty: -0.749, time: 7.793506
